game_id,competition_id,competition_type,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,aggregate,home_club_position,away_club_position,club_home_name,club_away_name,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url
2229332,DFL,other,2012,Final,2012-08-12,27,16,2,1,2:1,-1,-1,Fc Bayern Munchen,Borussia Dortmund,Jupp Heynckes,Jürgen Klopp,Allianz Arena,69000,Michael Weiner,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2229332
2244388,SUC,other,2012,final 1st leg,2012-08-22,131,418,3,2,3:2,-1,-1,Fc Barcelona,Real Madrid,Tito Vilanova,José Mourinho,Spotify Camp Nou,91728,Carlos Clos Gómez,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2244388
2269557,CDR,domestic_cup,2012,4th round 2nd leg,2012-11-28,3709,4032,0,0,0:0,-1,-1,Fc Getafe,,Luis García,Claudio Barragán,Coliseum Alfonso Pérez,2000,Pedro Jesús Pérez Montero,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2269557
2254432,CDR,domestic_cup,2012,First Round Replay,2012-08-30,21322,7077,1,0,1:0,-1,-1,,,Pedro Buenaventura,Pato,El Palmar,0,Andrés Manuel Ceballos Silva,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2254432
2221759,DFB,domestic_cup,2012,First Round,2012-08-20,109,27,0,4,0:4,-1,-1,,Fc Bayern Munchen,Oscar Corrochano,Jupp Heynckes,Jahnstadion,12500,Guido Winkmann,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2221759
2211607,NLSC,other,2012,Final,2012-08-05,383,610,4,2,4:2,-1,-1,Psv Eindhoven,Ajax Amsterdam,Dick Advocaat,Frank de Boer,Johan Cruijff ArenA,50000,Björn Kuipers,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2211607
2244655,FRCH,other,2011,Final,2012-07-28,969,1041,4,6,4:6,-1,-1,Montpellier Hsc,Olympique Lyon,René Girard,Rémi Garde,,15166,Jorge Gonzalez,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2244655
2224956,BE1,domestic_league,2012,30. Matchday,2013-03-16,1411,1184,1,5,1:5,7,3,Raec Mons,Krc Genk,Enzo Scifo,Mario Been,Charles Tondreau Stadion,3800,Christof Dierick,https://www.transfermarkt.co.uk/raec-mons-2015-_krc-genk/index/spielbericht/2224956
2250472,NL1,domestic_league,2012,34. Matchday,2013-05-12,200,1304,3,0,3:0,5,12,Fc Utrecht,Heracles Almelo,Jan Wouters,Peter Bosz,"Stadion ""Galgenwaard""",17125,Jochem Kamphuis,https://www.transfermarkt.co.uk/fc-utrecht_heracles-almelo/index/spielbericht/2250472
2250473,NL1,domestic_league,2012,34. Matchday,2013-05-12,467,235,1,2,1:2,15,14,Nec Nijmegen,Rkc Waalwijk,Alex Pastoor,Erwin Koeman,Goffertstadion,11600,Eric Braamhaar,https://www.transfermarkt.co.uk/nec-nijmegen_rkc-waalwijk/index/spielbericht/2250473
2219794,BESC,other,2011,Final,2012-07-22,58,498,3,2,3:2,-1,-1,Rsc Anderlecht,Ksc Lokeren,John van den Brom,Peter Maes,Constant Vanden Stock Stadion,14485,Laurent Colemonts,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2219794
2231667,L1,domestic_league,2012,34. Matchday,2013-05-18,16,533,1,2,1:2,2,16,Borussia Dortmund,Tsg 1899 Hoffenheim,Jürgen Klopp,Markus Gisdol,SIGNAL IDUNA PARK,80645,Dr. Jochen Drees,https://www.transfermarkt.co.uk/borussia-dortmund_tsg-1899-hoffenheim/index/spielbericht/2231667
2231661,L1,domestic_league,2012,34. Matchday,2013-05-18,42,38,3,0,3:0,9,17,Hannover 96,Fortuna Dusseldorf,Mirko Slomka,Norbert Meier,Heinz-von-Heiden-Arena,49000,Peter Gagelmann,https://www.transfermarkt.co.uk/hannover-96_fortuna-dusseldorf/index/spielbericht/2231661
2504433,NLP,domestic_cup,2012,First Round,2012-08-22,7474,34455,4,1,4:1,-1,-1,,,,,Sportpark Duinwetering,400,Jeroen Spinhoven,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2504433
2240524,NLP,domestic_cup,2012,First Round,2012-08-22,2821,2848,4,2,4:2,-1,-1,,,Misha Salden,Frans Koenen,Sportpark Ter Specke,0,Rob Souwen,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2240524
2231660,L1,domestic_league,2012,34. Matchday,2013-05-18,41,15,0,1,0:1,7,3,Hamburger Sv,Bayer 04 Leverkusen,Thorsten Fink,Sascha Lewandowski,Volksparkstadion,57000,Wolfgang Stark,https://www.transfermarkt.co.uk/hamburger-sv_bayer-04-leverkusen/index/spielbericht/2231660
2258403,POCP,domestic_cup,2012,Group D,2012-08-05,3348,7179,0,1,0:1,-1,-1,,Cd Tondela,Professor Neca,Vítor Paneira,Estádio CD Trofense,790,Bruno Esteves,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2258403
2231658,L1,domestic_league,2012,34. Matchday,2013-05-18,60,33,1,2,1:2,5,4,Sc Freiburg,Fc Schalke 04,Christian Streich,Jens Keller,Dreisamstadion,24000,Dr. Felix Brych,https://www.transfermarkt.co.uk/sc-freiburg_fc-schalke-04/index/spielbericht/2231658
2231662,L1,domestic_league,2012,34. Matchday,2013-05-18,79,39,2,2,2:2,12,13,Vfb Stuttgart,1 Fsv Mainz 05,Bruno Labbadia,Thomas Tuchel,Mercedes-Benz Arena,51020,Michael Weiner,https://www.transfermarkt.co.uk/vfb-stuttgart_1-fsv-mainz-05/index/spielbericht/2231662
2231654,L1,domestic_league,2012,34. Matchday,2013-05-18,167,65,3,1,3:1,15,18,Fc Augsburg,Spvgg Greuther Furth,Markus Weinzierl,Frank Kramer,WWK ARENA,30112,Tobias Welz,https://www.transfermarkt.co.uk/fc-augsburg_spvgg-greuther-furth/index/spielbericht/2231654
2258406,POCP,domestic_cup,2012,Group D,2012-08-05,2423,3336,3,1,3:1,-1,-1,Cd Santa Clara,Desportivo Aves,Luís Miguel,José Vilaça,Estádio de São Miguel,390,Rui Costa,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2258406
2231675,L1,domestic_league,2012,33. Matchday,2013-05-11,82,16,3,3,3:3,10,2,Vfl Wolfsburg,Borussia Dortmund,Dieter Hecking,Jürgen Klopp,Volkswagen Arena,30000,Günter Perl,https://www.transfermarkt.co.uk/vfl-wolfsburg_borussia-dortmund/index/spielbericht/2231675
2240525,NLP,domestic_cup,2012,First Round,2012-08-22,19934,16866,4,1,4:1,-1,-1,,,,,Sportpark De Dem,400,,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2240525
2231672,L1,domestic_league,2012,33. Matchday,2013-05-11,15,42,3,1,3:1,3,9,Bayer 04 Leverkusen,Hannover 96,Sascha Lewandowski,Mirko Slomka,BayArena,29904,Bastian Dankert,https://www.transfermarkt.co.uk/bayer-04-leverkusen_hannover-96/index/spielbericht/2231672
2231653,L1,domestic_league,2012,34. Matchday,2013-05-18,18,27,3,4,3:4,8,1,Borussia Monchengladbach,Fc Bayern Munchen,Lucien Favre,Jupp Heynckes,Stadion im Borussia-Park,54010,Thorsten Kinhöfer,https://www.transfermarkt.co.uk/borussia-monchengladbach_bayern-munich/index/spielbericht/2231653
2231657,L1,domestic_league,2012,34. Matchday,2013-05-18,24,82,2,2,2:2,6,11,Eintracht Frankfurt,Vfl Wolfsburg,Armin Veh,Dieter Hecking,Commerzbank Arena,51500,Felix Zwayer,https://www.transfermarkt.co.uk/eintracht-frankfurt_vfl-wolfsburg/index/spielbericht/2231657
