club_id,game_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
27,2229332,2,-1,Jupp Heynckes,16,1,-1,Jürgen Klopp,Home,1
131,2244388,3,-1,Tito Vilanova,418,2,-1,José Mourinho,Home,1
3709,2269557,0,-1,Luis García,4032,0,-1,Claudio Barragán,Home,0
21322,2254432,1,-1,Pedro Buenaventura,7077,0,-1,Pato,Home,1
109,2221759,0,-1,Oscar Corrochano,27,4,-1,Jupp Heynckes,Home,0
383,2211607,4,-1,Dick Advocaat,610,2,-1,Frank de Boer,Home,1
969,2244655,4,-1,René Girard,1041,6,-1,Rémi Garde,Home,0
1411,2224956,1,7,Enzo Scifo,1184,5,3,Mario Been,Home,0
200,2250472,3,5,Jan Wouters,1304,0,12,Peter Bosz,Home,1
467,2250473,1,15,Alex Pastoor,235,2,14,Erwin Koeman,Home,0
58,2219794,3,-1,John van den Brom,498,2,-1,Peter Maes,Home,1
16,2231667,1,2,Jürgen Klopp,533,2,16,Markus Gisdol,Home,0
42,2231661,3,9,Mirko Slomka,38,0,17,Norbert Meier,Home,1
7474,2504433,4,-1,,34455,1,-1,,Home,1
2821,2240524,4,-1,Misha Salden,2848,2,-1,Frans Koenen,Home,1
41,2231660,0,7,Thorsten Fink,15,1,3,Sascha Lewandowski,Home,0
3348,2258403,0,-1,Professor Neca,7179,1,-1,Vítor Paneira,Home,0
60,2231658,1,5,Christian Streich,33,2,4,Jens Keller,Home,0
79,2231662,2,12,Bruno Labbadia,39,2,13,Thomas Tuchel,Home,0
167,2231654,3,15,Markus Weinzierl,65,1,18,Frank Kramer,Home,1
2423,2258406,3,-1,Luís Miguel,3336,1,-1,José Vilaça,Home,1
82,2231675,3,10,Dieter Hecking,16,3,2,Jürgen Klopp,Home,0
19934,2240525,4,-1,,16866,1,-1,,Home,1
15,2231672,3,3,Sascha Lewandowski,42,1,9,Mirko Slomka,Home,1
18,2231653,3,8,Lucien Favre,27,4,1,Jupp Heynckes,Home,0
24,2231657,2,6,Armin Veh,82,2,11,Dieter Hecking,Home,0
244,2224190,0,2,Élie Baup,1421,0,14,Hubert Fournier,Home,0
3911,2224183,1,20,Corentin Martins,1159,2,18,Patrick Gabriel,Home,0
1041,2224185,2,3,Rémi Garde,273,0,13,Frédéric Antonetti,Home,1
1147,2224178,0,17,Albert Emon,417,2,4,Claude Puel,Home,0
595,2224184,0,12,Frédéric Hantz,750,0,15,Eric Hély,Home,0
1158,2224176,1,8,Christian Gourcuff,583,3,1,Carlo Ancelotti,Home,0
417,2224180,1,6,Claude Puel,1041,1,3,Rémi Garde,Home,0
4,2231659,3,10,Michael Wiesinger,86,2,14,Wolfgang Rolff,Home,1
750,2224117,1,17,Eric Hély,415,2,10,Alain Casanova,Home,0
14171,2224116,2,15,Pascal Dupraz,1423,0,13,Daniel Sanchez,Home,1
618,2224113,2,4,Christophe Galtier,244,0,2,Élie Baup,Home,1
1071,2225776,2,18,Roberto Martínez,405,2,15,Paul Lambert,Home,0
1159,2224115,1,19,Patrick Gabriel,595,2,12,Frédéric Hantz,Home,0
379,2225774,4,10,Sam Allardyce,1032,2,19,Nigel Adkins,Home,1
31,2225760,1,7,Brendan Rodgers,1039,0,20,Harry Redknapp,Home,1
1095,2224118,1,18,Jean-Marc Furlan,40,0,9,Francis Gillot,Home,1
180,2225752,1,14,Mauricio Pochettino,512,1,13,Tony Pulis,Home,0
2288,2225749,0,9,Michael Laudrup,931,3,12,Martin Jol,Home,0
281,2225747,2,2,Brian Kidd,1123,3,11,Chris Hughton,Home,0
