game_id,competition_id,competition_type,season,round,date,club id,club goals,opposite club id,opposite_club_goals,result,difference_goals
2229332,DFL,other,2012,Final,8/12/12,27,2,16,1,win,1
2244388,SUC,other,2012,final 1st leg,8/22/12,131,3,418,2,win,1
2269557,CDR,domestic_cup,2012,4th round 2nd leg,11/28/12,3709,0,4032,0,tie,0
2254432,CDR,domestic_cup,2012,First Round Replay,8/30/12,21322,1,7077,0,win,1
2221759,DFB,domestic_cup,2012,First Round,8/20/12,109,0,27,4,loss,-4
2211607,NLSC,other,2012,Final,8/5/12,383,4,610,2,win,2
2244655,FRCH,other,2011,Final,7/28/12,969,4,1041,6,loss,-2
2224956,BE1,domestic_league,2012,30. Matchday,3/16/13,1411,1,1184,5,loss,-4
2250472,NL1,domestic_league,2012,34. Matchday,5/12/13,200,3,1304,0,win,3
2250473,NL1,domestic_league,2012,34. Matchday,5/12/13,467,1,235,2,loss,-1
2219794,BESC,other,2011,Final,7/22/12,58,3,498,2,win,1
2231667,L1,domestic_league,2012,34. Matchday,5/18/13,16,1,533,2,loss,-1
2231661,L1,domestic_league,2012,34. Matchday,5/18/13,42,3,38,0,win,3
2504433,NLP,domestic_cup,2012,First Round,8/22/12,7474,4,34455,1,win,3
2240524,NLP,domestic_cup,2012,First Round,8/22/12,2821,4,2848,2,win,2
2231660,L1,domestic_league,2012,34. Matchday,5/18/13,41,0,15,1,loss,-1
2258403,POCP,domestic_cup,2012,Group D,8/5/12,3348,0,7179,1,loss,-1
2231658,L1,domestic_league,2012,34. Matchday,5/18/13,60,1,33,2,loss,-1
2231662,L1,domestic_league,2012,34. Matchday,5/18/13,79,2,39,2,tie,0
2231654,L1,domestic_league,2012,34. Matchday,5/18/13,167,3,65,1,win,2
2258406,POCP,domestic_cup,2012,Group D,8/5/12,2423,3,3336,1,win,2
2231675,L1,domestic_league,2012,33. Matchday,5/11/13,82,3,16,3,tie,0
2240525,NLP,domestic_cup,2012,First Round,8/22/12,19934,4,16866,1,win,3
2231672,L1,domestic_league,2012,33. Matchday,5/11/13,15,3,42,1,win,2
2231653,L1,domestic_league,2012,34. Matchday,5/18/13,18,3,27,4,loss,-1
2231657,L1,domestic_league,2012,34. Matchday,5/18/13,24,2,82,2,tie,0
2224190,FR1,domestic_league,2012,38. Matchday,5/26/13,244,0,1421,0,tie,0
2224183,FR1,domestic_league,2012,38. Matchday,5/26/13,3911,1,1159,2,loss,-1
2224185,FR1,domestic_league,2012,38. Matchday,5/26/13,1041,2,273,0,win,2
2224178,FR1,domestic_league,2012,38. Matchday,5/26/13,1147,0,417,2,loss,-2
2224184,FR1,domestic_league,2012,38. Matchday,5/26/13,595,0,750,0,tie,0
2224176,FR1,domestic_league,2012,38. Matchday,5/26/13,1158,1,583,3,loss,-2
2224180,FR1,domestic_league,2012,37. Matchday,5/19/13,417,1,1041,1,tie,0
2231659,L1,domestic_league,2012,34. Matchday,5/18/13,4,3,86,2,win,1
2224117,FR1,domestic_league,2012,37. Matchday,5/18/13,750,1,415,2,loss,-1
2224116,FR1,domestic_league,2012,37. Matchday,5/18/13,14171,2,1423,0,win,2
2224113,FR1,domestic_league,2012,37. Matchday,5/18/13,618,2,244,0,win,2
2225776,GB1,domestic_league,2012,38. Matchday,5/19/13,1071,2,405,2,tie,0
2224115,FR1,domestic_league,2012,37. Matchday,5/18/13,1159,1,595,2,loss,-1
2225774,GB1,domestic_league,2012,38. Matchday,5/19/13,379,4,1032,2,win,2
2225760,GB1,domestic_league,2012,38. Matchday,5/19/13,31,1,1039,0,win,1
2224118,FR1,domestic_league,2012,37. Matchday,5/18/13,1095,1,40,0,win,1
2225752,GB1,domestic_league,2012,38. Matchday,5/19/13,180,1,512,1,tie,0
2225749,GB1,domestic_league,2012,38. Matchday,5/19/13,2288,0,931,3,loss,-3
2225747,GB1,domestic_league,2012,38. Matchday,5/19/13,281,2,1123,3,loss,-1
2225742,GB1,domestic_league,2012,38. Matchday,5/19/13,762,0,11,1,loss,-1
2225737,GB1,domestic_league,2012,38. Matchday,5/19/13,984,5,985,5,tie,0
2225751,GB1,domestic_league,2012,37. Matchday,5/14/13,1032,0,281,2,loss,-2
2224186,FR1,domestic_league,2012,38. Matchday,5/26/13,1423,2,1095,1,win,1
2225759,GB1,domestic_league,2012,37. Matchday,5/12/13,985,2,2288,1,win,1
